target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
43.432571647720174,2342.74,10053.1,1.05545,0.3695,10.90391,7.10634,10.90391,vmj+N442+E158,7612
43.43162520524672,1484.43,27879.6,0.223058,0.75884,16.70814,14.03623,16.4214,mok+N450+E22,7613
43.430686686820735,1500.53,38323.8,0.322611,0.68014,23.17412,22.39812,23.17412,wjf+N520+E134,7614
43.43032811692692,1524.6,47002.9,0.378239,0.67926,31.14758,13.63808,31.14758,lta+N113+E92,7615
43.42974725996252,2136.64,22652.5,0.948151,0.46516,11.6817,8.78764,11.02205,vmg+N421+E71,7616
43.42912572142411,1515.32,52917.1,0.469688,0.68644,21.59215,16.73369,20.34733,vmf+N421+E61,7617
43.42526415590256,2464.09,24462.1,1.04957,0.31844,11.36654,5.71702,10.1367,whz+N306+E95,7618
43.424016410743285,1828.43,9291.65,0.419353,0.63928,21.16401,19.26984,21.16401,fee+N572+E119,7619
43.42324062760775,2049.55,17070.3,0.784405,0.39706,13.38224,6.26155,12.50059,ecf+N642+E52,7621
43.419257071330414,1490.46,35514.5,0.393155,0.71528,20.38538,14.96149,18.94727,smu+N30+E101,7624
43.4174888934416,1938.34,39605.1,0.666972,0.51126,13.88107,9.72038,13.71297,uno+N624+E131,7625
43.41631422760774,2499.75,7984.1,0.765229,0.3044,9.34316,6.99576,9.34316,fnu+N383+E215,7626
43.41403976514678,2102.53,28502.9,0.64604,0.49274,14.45055,12.32353,14.31516,wfa+N539+E233,7628
43.41033028557152,1503.69,24269.5,0.291962,0.70788,17.65316,15.42366,17.08003,rkf+N508+E23,7630
43.40762683622735,1272.37,25321.9,0.329412,0.73288,26.84179,25.51363,26.84179,sma+N608+E35,7632
43.40750392804497,2438.4,13180.8,0.914515,0.25466,8.88507,6.19472,8.87084,vcj+N284+E149,7633
43.40714191330418,1503.34,27816.6,0.366688,0.70222,21.34193,13.6696,21.34193,crr+N355+E186,7634
43.40635345708932,1341.23,35947.9,0.2783,0.75724,18.56953,16.96143,18.13021,nov+N383+E31,7635
43.406296117926296,1368.91,45549.4,0.255644,0.75354,22.70165,19.92259,22.51607,vbu+N134+E33,7636
43.40618234803247,1488.21,28674.3,0.284172,0.7386,20.13725,19.80673,20.12344,ooa+N172+E41,7637
43.40448244647095,2554.32,3258.21,1.05189,0.41526,12.61295,12.33808,12.61295,sma+N182+E44,7638
