target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
33.23251964465369,2600.51,27704.3,0.392998,0.51992,10.73384,7.79476,10.29059,hjm+N158+E32,8
31.72123991981267,3290.3,10566.9,0.526891,0.3956,7.66273,5.42746,7.62775,msp+N158+E44,21
31.309236892053484,2272.33,22907.0,0.361515,0.57304,13.99412,12.11284,13.95359,mdf+N158+E11,28
31.188444697330905,572.83,127502.0,0.0820212,0.89326,38.23298,28.93876,38.23298,afw+N50+E34,31
30.754019943873253,2779.78,18686.4,0.483229,0.42678,9.81019,7.94889,9.12648,mdf+N435+E177,40
30.55243141271675,458.028,175272.0,0.065171,0.91658,46.44123,32.36465,46.44123,uoj+N50+E28,48
30.37392221729661,939.519,81898.5,0.137301,0.83058,28.36209,23.52129,28.07193,qtz-e+N328+E10,53
30.26618483124371,2718.68,9324.67,0.522507,0.4128,9.49456,6.82879,7.82219,qtz-x+N447+E150,56
29.74091314263976,2674.67,7372.52,0.537039,0.42532,9.02009,6.6434,9.02009,qtz-x+N162+E72,69
29.696605674362907,2698.82,18616.4,0.489359,0.44596,11.47005,9.86744,11.47005,lvt+N263+E85,70
29.62994892689093,2386.13,13932.0,0.419397,0.51276,11.33785,8.40936,11.01557,rob+N613+E150,72
29.529826665938064,861.775,69183.0,0.120898,0.83794,29.23066,22.10215,29.23066,afw+N50+E151,75
29.410538029848308,2266.2,2751.76,0.353968,0.56552,13.27664,10.61311,13.22672,pcu+N559+E11,77
29.35460396545707,2270.4,19634.7,0.438212,0.51612,12.83738,8.80259,10.63958,ske+N162+E127,79
29.189353768663995,2764.28,11485.1,0.491903,0.46318,9.43893,7.00439,9.43893,qtz-x+N694+E32,84
29.14150338100713,2388.99,21994.1,0.413294,0.51982,13.33216,8.42485,11.24951,hjm+N93+E189,90
29.102138419483964,307.938,127145.0,0.048568,0.94718,51.80424,50.11177,51.80424,eta+N51+E1,91
29.081402708237164,2889.74,4158.04,0.488476,0.43976,9.27836,6.86069,9.24203,cds+N561+E199,93
29.045792953911374,2669.91,28384.3,0.538799,0.35776,11.60942,7.37382,10.8848,ure+N50+E216,94
29.014153542152997,2117.48,9319.26,0.336811,0.59928,12.65042,9.95894,12.65042,qzd+N2+E11,96
28.991924520799028,2819.54,6336.35,0.536794,0.38448,8.5744,7.08314,8.21897,dmp+N282+E216,97
28.926045683172628,2386.4,7681.09,0.518467,0.46562,10.86051,8.55662,10.26758,bsn+N162+E19,101
28.859892748366423,886.196,30859.7,0.125896,0.83492,23.05862,21.24399,22.57075,qtz+N50+E188,105
28.812023537703304,2757.56,7641.36,0.551712,0.40532,9.65498,7.65219,9.57709,qtz-x+N328+E181,106
28.790816630933595,2728.17,12383.3,0.537575,0.37264,8.49108,6.36793,8.36588,rob+N162+E137,107
28.77549054900806,2407.11,22447.7,0.409276,0.49232,11.79197,9.02697,11.4108,sow+N158+E137,108
28.696051451611847,2280.75,22144.4,0.404188,0.5125,12.68424,8.99171,12.05214,mdf+N50+E159,111
28.68976632694042,2491.12,8084.89,0.555042,0.41316,10.37809,6.93379,10.37809,hxg+N591+E81,113
28.617280893519084,2599.07,4477.42,0.406614,0.49456,11.4651,9.82394,11.4651,cds+N342+E219,117
28.51834770599756,581.612,106683.0,0.0847135,0.89284,43.60857,37.33472,43.60857,dft+N93+E34,126
28.453747971366816,2694.84,10094.9,0.505436,0.44238,9.9191,7.65543,9.10075,rob+N151+E119,134
28.430169484306877,2602.64,19325.1,0.535315,0.391,10.8175,7.82653,9.88761,vby+N222+E177,137
28.41947718017017,810.73,61993.6,0.120726,0.84918,32.38858,30.42618,32.38858,snp+N489+E10,139
28.35420411743357,2760.95,9391.9,0.531592,0.40294,8.74383,6.47797,8.52697,bcu+N372+E32,146
28.32692041139472,2108.74,29873.1,0.344163,0.57932,14.26746,11.90948,12.88698,snk+N447+E65,149
28.30237785396369,644.712,98642.7,0.0966495,0.88382,30.80746,26.65414,30.80746,nbo+N512+E1,154
28.225128042756555,572.641,152822.0,0.0845215,0.89606,43.29543,34.36364,43.22234,qtz-a+N93+E96,161
28.21784295904776,376.212,122110.0,0.0535605,0.93474,42.7574,34.74621,42.75321,srs+N415+E24,162
28.20436994790369,2494.28,21563.0,0.51665,0.46626,11.91608,10.55686,11.91608,lvt+N618+E84,164
28.196374336934625,1110.72,37973.4,0.178497,0.78474,40.91689,40.51193,40.91689,npo+N359+E154,165
28.157320296239853,2918.06,6403.57,0.55742,0.37972,7.80605,6.57048,7.7266,rob+N591+E119,169
28.144734526209497,1928.95,11536.7,0.329178,0.616,17.73114,15.3511,17.73114,kag+N702+E154,171
28.10936173023993,2867.03,6021.72,0.630651,0.31498,8.67497,5.98774,8.67497,qtz-x+N702+E154,173
28.080669890514937,2408.88,27318.6,0.390511,0.49848,18.34601,14.81954,18.33196,smk+N234+E190,177
28.076967800705194,2448.63,21380.3,0.499674,0.47714,11.09842,8.00108,11.09842,ske+N151+E138,179
28.064349080485147,2383.72,26067.9,0.383076,0.54236,14.94148,11.66892,14.94148,mdf+N708+E224,184
28.06337338000429,2412.07,5439.51,0.449572,0.48462,13.35801,11.22967,13.35592,cds+N93+E218,185
28.057604617699056,1895.14,17572.9,0.341568,0.6169,13.14633,10.89805,12.6089,qtz-x+N489+E47,188
28.02140894834143,2654.65,8846.33,0.601856,0.3627,9.47834,6.20968,9.43963,rob+N613+E85,190
27.962438520461685,2173.22,11649.3,0.362394,0.56888,12.50352,10.72612,12.44543,dmp+N50+E52,196
27.933354879713484,597.152,110306.0,0.086487,0.89244,40.47844,35.40213,40.31567,dft+N76+E152,198
27.893867489794125,1562.05,71494.7,0.240814,0.69876,32.62812,31.31068,32.52589,wml+N447+E101,204
27.88962345689115,1560.84,44978.9,0.242582,0.69854,18.38002,15.28474,17.92176,wje+N50+E92,205
27.86623185362096,2418.64,16387.5,0.411371,0.52472,12.145,8.66787,10.36312,unm+N708+E216,212
27.84828165275041,1285.19,41646.4,0.211742,0.74028,24.29737,19.78101,24.29737,dft+N50+E165,215
27.82784659847572,777.88,66024.7,0.114752,0.85626,41.67626,40.48639,41.67626,unh+N93+E188,218
27.822277628539617,2577.98,12230.6,0.484897,0.52072,13.4476,11.56543,13.22887,uon+N164+E150,220
27.78658651766923,1792.69,31639.3,0.311923,0.63402,17.1407,12.98371,16.64581,qtz-e+N274+E154,226
27.778830158582803,2591.03,12190.4,0.526836,0.41282,10.40918,8.48526,10.38545,snx+N574+E127,228
27.721220778554848,1042.03,53077.8,0.171275,0.79026,39.38607,38.37132,39.38607,umm+N688+E203,237
27.69032654914385,2403.0,15462.7,0.520644,0.46618,10.52749,8.74531,10.51033,vcz+N151+E19,244
27.65964387301135,670.963,98534.8,0.0861015,0.88262,33.09347,24.95054,33.09347,afw+N435+E203,246
27.654628146725837,2679.38,8119.76,0.606583,0.34322,9.16746,7.19057,9.15652,qtz-x+N489+E177,248
27.643250907780413,1856.63,42234.9,0.340883,0.62698,28.8712,27.59311,28.8712,wml+N533+E107,251
27.63190996602619,1883.94,25132.5,0.302015,0.6335,16.53925,14.72387,16.53571,snx+N447+E111,252
27.622821948206543,1655.02,17119.7,0.264666,0.68014,23.58794,23.03186,23.58312,unc+N89+E154,253
27.62118018452024,2016.46,41464.4,0.340843,0.60968,20.35943,19.64343,20.28553,uob+N89+E166,254
27.59020887606442,2161.73,19852.9,0.450079,0.5155,17.21659,16.36642,17.21659,sml+N574+E81,257
27.5249041339636,2899.29,3410.34,0.570329,0.3643,8.93985,6.66318,8.66965,cds+N263+E92,267
27.504780311793542,2058.61,15927.4,0.311799,0.62608,16.14311,11.29243,15.90514,hxg+N591+E4,270
27.50365193910024,1921.55,13437.1,0.361448,0.58972,19.597,17.96455,19.597,sma+N574+E150,271
27.481974292472163,1309.13,24754.4,0.216248,0.74904,28.37191,24.91967,28.37191,kag+N151+E187,274
27.46061463185673,627.958,100960.0,0.089959,0.88962,41.21954,40.01062,41.21954,umw+N708+E20,278
27.43355318815652,2754.04,14883.6,0.478648,0.47564,10.59798,8.23885,10.24144,mok+N310+E150,280
27.42845742366797,2450.25,14001.4,0.449124,0.47936,11.37542,8.41812,9.43019,vby+N533+E219,281
27.401086869459373,2115.21,34794.8,0.360839,0.58814,15.93167,11.92193,14.68599,unf+N89+E85,285
27.400461107213214,2326.74,6084.36,0.491232,0.49624,10.37411,9.17388,9.89309,sxc+N151+E44,286
27.384492289003063,2118.61,29786.7,0.353296,0.58238,13.8398,10.16588,13.8398,wjg+N93+E92,289
27.364430382357757,2264.35,11717.2,0.506735,0.47216,10.70818,9.43798,10.51152,sxb+N540+E11,293
27.361701090249905,2236.97,33395.9,0.420066,0.5391,13.42261,7.88277,13.19663,sol+N447+E179,294
27.34471468354609,644.047,95140.8,0.101073,0.88146,40.13271,38.20854,40.1188,umw+N50+E104,298
27.329424727242955,563.725,79987.2,0.0771767,0.90302,38.63993,37.44827,38.63993,unj+N435+E36,304
27.285982133605284,2654.92,25508.4,0.610959,0.35044,10.0363,6.40116,8.24762,vbm+N559+E85,309
27.27832365352706,2301.23,19583.3,0.396308,0.52256,12.31205,10.26006,12.29764,mdf+N93+E215,310
27.271621839839053,1755.09,29633.5,0.28163,0.6657,17.47063,14.19351,16.91571,mok+N93+E81,312
27.212939076140174,513.842,152068.0,0.0737945,0.90732,42.01883,29.65685,41.59338,uoj+N219+E121,323
27.19032896032401,1764.85,34763.0,0.342716,0.62294,18.96125,16.04715,18.96125,osc+N574+E11,329
27.180084406514197,2852.76,22446.2,0.626365,0.35082,8.39276,6.81657,8.37822,bcs+N170+E14,333
