Unnamed: 0,target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
2400,537.7535635,2268.95,9251.22,0.699303,0.53642,10.9674,8.86006,10.81633,dia+N215+E162,2238
16291,537.7097453,3024.51,20914.4,0.8545,0.34582,8.65191,5.42986,7.22111,wgt+N206+E72,2242
15937,537.6982313,1977.61,27301.4,0.485705,0.57734,17.39894,14.40501,17.39894,vmi+N197+E150,2244
16972,537.6961084,2051.57,29811.4,0.446619,0.58298,20.5542,9.18465,20.5542,wjd+N696+E201,2245
1983,537.695643,1714.11,7039.5,0.364823,0.67292,14.37075,11.30315,14.05385,crb+N184+E19,2246
1782,537.6801751,1635.86,7639.2,0.307417,0.6851,15.47793,11.66074,14.8796,cds+N524+E73,2247
14587,537.6790774,1643.4,23455.7,0.28906,0.68622,16.06659,15.12619,16.06659,uon+N618+E156,2248
14629,537.6564124,1660.64,19292.2,0.407709,0.69244,16.97078,11.76247,16.14428,uoo+N346+E53,2249
2832,537.6458316,1763.05,23970.4,0.417472,0.6402,16.60495,14.90116,16.39358,eci+N632+E2,2250
5416,537.6376974,2219.14,23121.7,0.672713,0.49032,13.79181,11.11193,13.79181,lcy-e+N453+E201,2251
11346,537.6128386,2038.81,23007.2,0.403441,0.62898,14.3635,11.69395,14.3635,sxc+N101+E101,2253
14599,537.568293,1743.02,16169.8,0.330276,0.64824,19.17479,15.53479,19.02084,uon+N93+E45,2254
