target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
328.350829908308,307.938,127145.0,0.048568,0.94718,51.80424,50.11177,51.80424,eta+N51+E1,2
307.5673698521319,376.212,122110.0,0.0535605,0.93474,42.7574,34.74621,42.75321,srs+N415+E24,3
266.7229859045444,425.252,73805.0,0.0626107,0.932,46.90713,43.7012,46.90713,eta+N641+E24,7
264.3553039495603,458.028,175272.0,0.065171,0.91658,46.44123,32.36465,46.44123,uoj+N50+E28,8
261.3776501837484,381.812,107291.0,0.062575,0.9363,39.43454,34.67884,39.43454,twt+N641+E9,9
259.99584919572527,439.172,87033.3,0.0642068,0.92636,35.55984,31.39501,35.55984,twt+N298+E22,11
258.18604524671946,399.93,106849.0,0.0639979,0.9346,38.78633,33.91143,38.78633,srs+N60+E21,12
250.36873434969291,397.756,90204.4,0.0657537,0.92982,44.88599,42.65079,44.3378,eta+N137+E187,13
249.7986719302172,495.032,103366.0,0.0691474,0.9161,40.57303,38.306,40.52186,utk+N411+E21,14
248.2158471656581,419.913,119363.0,0.0663008,0.92888,39.27239,35.80891,39.19178,srs+N51+E121,15
236.398413442075,382.326,105978.0,0.0695951,0.93128,47.80555,45.07831,47.80555,eta+N485+E234,17
236.130619869082,513.842,152068.0,0.0737945,0.90732,42.01883,29.65685,41.59338,uoj+N219+E121,18
234.3893696751621,482.126,86673.1,0.0750683,0.91528,35.93453,30.20211,34.24341,twt+N641+E47,20
231.58127729318505,563.725,79987.2,0.0771767,0.90302,38.63993,37.44827,38.63993,unj+N435+E36,23
231.42919770167637,393.963,105119.0,0.0713041,0.92756,48.59856,45.88884,48.51544,eta+N485+E61,24
228.51544527948676,426.801,125119.0,0.0718525,0.92878,45.55664,41.59687,45.55664,qtz-h+N499+E141,26
228.4736774422768,526.459,88657.9,0.077691,0.9121,39.95589,38.18529,39.62211,unj+N109+E10,27
224.3442720086554,560.761,90987.7,0.0786791,0.90668,33.55583,32.60319,33.55583,utk+N641+E4,29
221.5738480826606,509.148,67355.0,0.077653,0.90982,41.59288,39.65121,41.59288,eta+N298+E215,32
221.48221064572468,572.83,127502.0,0.0820212,0.89326,38.23298,28.93876,38.23298,afw+N50+E34,33
