filename,target,metal_Zn,metal_Cu,metal_Co,metal_Cd,metal_Mn,metal_Ni,metal_Fe,metal_Ag,metal_In,metal_Nd,metal_Zr,metal_La,metal_Mg,metal_Ca,metal_W,metal_other,metal_organic,node_CN,node_is_fluorinated,node_is_electron_deficient,node_is_electron_rich,node_is_symmetric,node_is_conjugated,node_is_metalated,node_has_hydrogen_bond_donor,node_has_hydrogen_bond_acceptor,node_is_charged,node_is_photoswitchable,node_has_open_metal_site,edge_CN,edge_length,edge_is_fluorinated,edge_is_electron_deficient,edge_is_electron_rich,edge_is_symmetric,edge_is_conjugated,edge_is_metalated,edge_has_hydrogen_bond_donor,edge_has_hydrogen_bond_acceptor,edge_is_charged,edge_is_photoswitchable,edge_has_open_metal_site,topo_node_CN_min,topo_node_CN_max,topo_edge_CN_min,topo_edge_CN_max,sa,cv,density,vf,di,df,dif
dft+N304+E45,7.700220964614427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,1,2,4.58,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,1504.44,14583.9,0.463802,0.68334,20.49912,18.42541,20.49912
wje+N215+E136,7.69911398580162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,1,0,0,1,2,8.4608,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,1188.76,54495.6,0.259322,0.78074,20.1909,19.58151,20.16133
wmb+N441+E65,7.698491951956494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,1,1,1,0,0,0,2,6.6542,0,0,0,1,0,0,0,0,0,0,0,6,6,2,2,1079.89,54203.6,0.28328,0.76784,27.35536,24.40947,27.25211
umx+N580+E104,7.697579876955132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,7.9338,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,1166.21,39641.7,0.268177,0.7921,29.4913,26.5124,29.48616
npo+N158+E158,7.694655738717108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,1,2,3.5983,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,1005.04,30268.1,0.17617,0.80928,30.3152,29.37489,30.19773
wmo+N356+E59,7.6946335884468064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,0,0,0,0,1,2,14.6855,0,0,0,1,1,0,1,1,0,0,0,6,6,2,2,1103.74,129155.0,0.173895,0.79452,30.09194,24.75499,30.09194
kag+N508+E225,7.694335166438533,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,2,12.4541,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,1191.21,25853.7,0.200687,0.78056,30.15798,25.92714,30.15798
umo+N42+E182,7.686719293719103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,3.1127,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,996.665,59703.2,0.193008,0.80658,33.42324,32.04396,33.42324
umm+N515+E86,7.682410773593029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,6.3933,0,0,0,1,0,0,0,1,0,0,0,4,4,2,2,1013.32,62360.3,0.168477,0.8061,41.73256,38.69131,41.28716
afw+N385+E181,7.68222934764135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,2,6.1207,0,0,1,1,1,0,0,1,0,0,0,4,4,2,2,1216.85,30513.3,0.254228,0.7728,21.97401,16.14833,21.96854
ukt+N398+E136,7.677222562792639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,1,0,0,1,2,8.4608,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,1218.83,68812.2,0.232529,0.77028,30.75907,23.83755,30.73885
fnb+N572+E87,7.675977318534289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,1,1,1,0,0,1,2,10.625,0,0,0,1,1,0,0,1,0,0,0,5,5,2,2,1055.52,102091.0,0.192678,0.79602,35.29268,18.75639,34.62364
osc+N179+E169,7.673724191939743,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,1,1,0,0,1,2,9.6708,0,0,0,1,1,1,0,1,0,0,0,6,6,2,2,1470.45,43522.1,0.361052,0.7286,20.85862,17.9191,20.72817
lvt+N654+E148,7.673285231899992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,9.2703,0,0,0,1,0,0,0,1,0,0,0,4,4,2,2,1229.39,52276.6,0.167801,0.78462,20.4071,16.15825,20.4071
msp+N113+E172,7.671565059552589,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,2,7.2523,0,0,0,1,0,1,0,1,0,0,1,4,4,2,2,2554.09,12673.1,0.607778,0.53456,10.40568,6.88366,10.04639
qtz+N109+E110,7.669701867567217,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,2,8.7614,0,0,0,1,1,0,1,1,0,0,0,4,4,2,2,1203.29,13756.2,0.222767,0.7864,17.05229,15.42787,16.96917
lig+N579+E25,7.667833771675296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,0,0,2,4.5798,0,0,0,1,1,0,0,0,0,0,0,3,3,2,2,1070.03,52533.5,0.219329,0.80006,24.6078,19.8856,24.6078
wjf+N437+E130,7.665360792713773,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,5.255,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,1098.31,55383.9,0.18181,0.7992,32.7182,30.89888,32.70155
nbo+N455+E11,7.665206212970682,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,7.018,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,950.837,44206.6,0.168585,0.82058,27.33287,19.24636,27.33206
sml+N14+E12,7.664983203304974,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,2,10.7401,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,1387.6,39926.2,0.379285,0.72012,21.7868,20.59543,21.7868
kag+N552+E82,7.66241472874965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,0,2,11.151,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,1013.58,38345.6,0.287621,0.78772,35.41802,29.98154,34.63176
wix+N485+E130,7.660915217311837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,0,1,2,5.255,0,0,0,1,1,0,0,0,0,0,0,3,3,2,2,1022.56,61067.1,0.205316,0.79728,35.61477,33.47809,35.56536
yff+N391+E45,7.660599695766858,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,1,2,4.58,0,0,0,1,1,0,0,1,0,0,0,5,5,2,2,1472.74,41691.3,0.450137,0.69934,25.86305,19.29836,25.8311
uoq+N450+E158,7.660289945509788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,1,0,0,0,2,3.5983,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,1671.43,23946.5,0.312939,0.70374,26.32347,24.62244,26.31283
svs+N599+E9,7.659680112727194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,1,1,0,0,0,2,13.7885,0,0,0,1,1,0,0,1,0,0,0,7,7,2,2,1374.81,62520.7,0.30324,0.7459,26.37989,22.45117,26.37989
mmt+N304+E96,7.654437615078181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,1,2,7.7367,0,0,1,1,1,0,0,1,0,0,0,4,4,2,2,1475.33,28543.1,0.289196,0.72724,17.45614,12.84334,17.45614
fnv+N391+E110,7.652604901906044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,1,2,8.7614,0,0,0,1,1,0,1,1,0,0,0,5,5,2,2,1385.81,30583.1,0.296976,0.74382,19.71811,17.8708,19.71811
cds+N616+E23,7.652218675082365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,2,7.6601,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,1475.38,6436.29,0.310162,0.7398,15.7053,12.35336,15.7053
