filename,uptake,surrogate_pred_g_L,surrogate_rank,iteration
hex+N329+E32,25.233922,29.180512318069077,1,2
hex+N329+E34,19.939724,29.11753506323066,2,2
vmg+N533+E147,27.011963,28.983217605223444,3,2
vmg+N533+E29,29.484505,28.84293821307051,4,2
sxc+N533+E86,32.658979,28.271780123573535,5,2
sxc+N552+E86,17.351409,27.939422364918528,6,2
rob+N638+E119,27.031718,27.17420198098057,7,2
rob+N669+E119,22.987962,27.1684356713572,8,2
wkb+N300+E92,22.917582,25.61838908165896,10,2
snl+N36+E53,17.555476,23.785964953251323,11,2
wku+N599+E131,22.986835,23.182301819300392,13,2
smk+N59+E159,26.727247,22.446711168440743,17,2
sxb+N289+E219,26.935036,21.827807315511677,19,2
sxb+N122+E219,17.391761,21.45508354397873,22,2
sxb+N108+E219,21.455554,21.447306546458208,23,2
wjh+N513+E92,12.034602,20.46127590567687,40,2
svd+N583+E95,21.653099,20.439330894400996,41,2
wia+N173+E18,25.253325,20.41502547025641,44,2
unj+N194+E218,5.988744,20.333116237027014,47,2
nbo-a+N246+E72,4.189386,20.295994638397076,50,2
unj+N194+E43,10.693629,20.28342345594325,52,2
svd+N583+E84,20.362786,20.2437338240789,57,2
svd+N583+E18,21.102364,20.132148950601447,64,2
unj+N194+E36,4.572846,20.114605952456998,65,2
ecl+N655+E14,28.462824,20.042342992107308,72,2
vba+N153+E8,14.798715,20.019048448454384,74,2
vmh+N41+E52,26.692914,19.98827080544305,77,2
sxc+N533+E52,20.734977,31.262438878839475,1,3
sxc+N533+E147,34.343673,30.804221670463107,2,3
rob+N151+E215,31.607325,29.107038090343963,3,3
rob+N151+E162,36.856837,28.987451533937588,4,3
vmc+N482+E202,18.238299,27.842762474155734,5,3
vmc+N133+E202,17.93827,27.21969923844449,7,3
sxb+N289+E8,22.653558,26.118639830607663,9,3
sxb+N289+E216,26.099749,26.08173647548358,10,3
ecl+N655+E8,22.602511,25.984766950987023,12,3
hex+N171+E32,26.502128,25.25903123584311,13,3
hex+N229+E32,24.709873,25.21465489719867,14,3
vmh+N214+E52,22.120962,25.119315191685587,15,3
smk+N65+E79,25.900943,24.814688661416994,17,3
wkb+N482+E162,23.039288,24.747837382471573,19,3
wkb+N482+E49,15.330583,24.69076925194514,20,3
wku+N599+E68,17.336696,23.29157153664056,21,3
wku+N599+E162,23.460625,23.2875153387605,22,3
zfr+N272+E158,12.064742,22.740822578782684,23,3
zfr+N383+E52,23.953174,22.53088693174709,24,3
qdl+N549+E71,17.59988,22.338482660330214,26,3
qdl+N603+E71,30.527407,22.185997661960073,28,3
msp+N448+E156,25.861938,21.927468096208486,29,3
msp+N450+E156,17.881937,21.727025297848,32,3
vby+N85+E8,17.405482,21.454017679310624,42,3
vby+N85+E68,15.461485,21.443785671968357,43,3
vby+N85+E195,27.406925,21.380410226666243,47,3
wmo+N278+E95,27.280787,21.32728866705014,51,3
vcz+N86+E132,19.567356,21.241208205961215,57,3
svd+N284+E95,20.09094,21.21806303553842,61,3
svd+N233+E219,22.309685,21.122919529366015,63,3
vcz+N86+E134,23.753395,21.110787399632073,64,3
vcz+N86+E23,14.318254,21.081847761631053,65,3
wml+N481+E1,9.432091,21.052240951771324,67,3
wmi+N533+E27,29.178706,20.98654005025506,69,3
