filename,uptake,iteration,beam
tzs+N161+E175,10.642339981292867,1,random
sml+N135+E222,20.438121105756338,1,random
whe+N536+E149,20.47886057873817,1,random
zfx+N671+E80,9.59169015601371,1,random
wka+N172+E211,15.91587789024237,1,random
swk+N446+E66,16.69286265317548,1,random
sod+N267+E53,7.146753374543502,1,random
uof+N68+E25,21.42297312088324,1,random
tzs+N520+E150,7.059059673756672,1,random
yan+N233+E33,14.854200644421253,1,random
rac+N73+E86,11.409060749001284,1,random
neb+N310+E162,22.615515916687105,1,random
lon+N492+E50,16.69912792564175,1,random
sol+N681+E53,11.850911747277872,1,random
bcg+N389+E47,30.95033201391336,1,random
vmv+N189+E14,25.89289579353121,1,random
ose+N583+E24,17.681082000757495,1,random
atn+N113+E29,15.074116145330889,1,random
vca+N628+E130,22.044311398893,1,random
npo+N697+E70,9.672600000259626,1,random
yfy+N482+E123,18.44398020917082,1,random
wko+N442+E63,20.8855612324476,1,random
vbw+N442+E233,18.61495992131738,1,random
mmt+N215+E53,9.285414045797712,1,random
ecd+N226+E70,23.62013104480189,1,random
fee+N383+E225,6.278368823369779,1,random
wke+N572+E130,14.262042090847451,1,random
msw+N308+E225,12.107540153373648,1,random
sow+N455+E219,17.944049530573526,1,random
vbk+N383+E173,27.13079850732333,1,random
noy+N300+E188,12.211544547531863,1,random
ung+N409+E128,17.067368331627176,1,random
osb+N566+E14,32.9845094954913,1,random
dia-f+N117+E52,5.263544015389902,1,random
wgu+N133+E113,16.006051571666827,1,random
uog+N557+E155,6.47945170873008,1,random
hcp+N419+E96,26.95731916732603,1,random
wja+N179+E28,7.790217442851151,1,random
smw+N86+E160,18.2480139140578,1,random
noy+N172+E209,7.914147381754165,1,random
