filename,uptake,surrogate_pred_g_L,surrogate_rank,iteration
vmx+N588+E131,18.067803,27.88004908265657,1,2
sml+N59+E162,19.654702,26.992581678555666,4,2
wht+N598+E63,28.962506,25.598736082153437,6,2
smb+N422+E234,12.340828,23.358480984970925,7,2
smb+N422+E195,20.191474,23.334287970468893,8,2
kag+N170+E205,20.614228,22.130586836058683,11,2
kag+N336+E205,25.598681,22.04793515041939,12,2
yfw+N332+E151,9.718897,20.568931476783035,21,2
vbx+N577+E206,20.004941,20.465708079007015,27,2
snq+N9+E79,17.010132,20.461527359766734,29,2
yfw+N254+E151,18.948057,20.46014450949724,30,2
yfw+N332+E160,9.199963,20.416468801964328,32,2
whg+N433+E14,18.526892,20.373553367856175,38,2
whg+N433+E110,10.595799,20.30266630540322,43,2
wjf+N520+E182,8.508859,20.30251997826832,44,2
whg+N505+E14,20.286102,20.28872952847442,48,2
wjs+N482+E162,21.670029,20.20206463481898,57,2
eta+N611+E160,4.344839,20.184243323601237,60,2
wjs+N482+E101,13.613967,20.168309357815133,61,2
wix+N377+E38,3.776114,20.13878579878491,67,2
wjf+N238+E36,4.960426,20.095331347295115,72,2
uou+N387+E45,7.497673,20.085402072178738,4,3
uou+N387+E31,4.716501,20.07790308488643,5,3
uou+N17+E31,24.66793,19.89523870524667,6,3
utk+N18+E43,8.072181,19.884456470196824,7,3
utk+N18+E119,7.131712,19.86792785419496,8,3
unc+N460+E65,6.702339,19.620748991097145,10,3
utk+N18+E156,8.84483,19.58962488627776,11,3
wkl+N433+E186,12.871608,19.577987070097265,12,3
wja+N290+E1,9.408313,19.362417287243147,23,3
cds+N310+E50,14.0915,19.356431407334668,24,3
smi+N105+E224,19.33274,19.315726547255338,27,3
cds+N310+E145,23.872957,19.31427520748923,28,3
whv+N134+E186,19.990456,19.294205513738433,33,3
unc+N492+E65,11.21515,19.229619300143668,35,3
msw+N264+E23,24.630516,19.228787230557828,36,3
kag+N147+E16,17.127033,19.216584340300358,40,3
smi+N273+E224,17.849578,19.141823605313988,46,3
msw+N173+E136,20.307283,19.125536082271623,49,3
msw+N173+E61,27.491226,19.09633135636038,55,3
can+N461+E110,5.045349,19.05298503399669,58,3
cds+N310+E49,30.419747,19.036067282003174,62,3
kag+N147+E206,16.30353,19.021647532020594,67,3
kag+N147+E50,12.270032,19.01732977629139,70,3
ukg+N708+E234,9.984211,19.008729731400578,73,3
uoc+N581+E79,13.130221,18.979870107147065,77,3
fob+N482+E44,27.24257,18.973579374157566,80,3
wht+N290+E63,29.512684,24.78737036478185,4,4
