filename,uptake,surrogate_pred_g_L,surrogate_rank,iteration
bcg+N389+E113,31.093566,27.792237316558726,1,2
bcg+N389+E104,32.892748,27.765579862130892,2,2
hcp+N95+E96,26.236356,23.596186733652587,5,2
hcp+N452+E96,19.498178,23.444613913335616,6,2
vmv+N363+E14,26.461281,23.074407324719317,7,2
vmv+N647+E14,26.660487,22.90496337013792,8,2
neb+N310+E84,28.481684,20.265421637877182,11,2
neb+N310+E16,19.327263,20.12188289988086,12,2
uof+N68+E27,18.986566,19.20346652685599,15,2
dia+N307+E7,3.529397,19.081007215453468,19,2
dia+N188+E7,5.20567,18.841311615556663,26,2
wni+N446+E7,9.204023,18.81043798601013,30,2
upa+N76+E21,6.801427,18.77596214321656,33,2
vbt+N475+E44,23.006867,18.770715936313167,35,2
fnq+N383+E72,27.871071,18.759789236597157,36,2
wni+N446+E84,22.940888,18.751780822271144,37,2
whe+N265+E149,26.52938,18.735058537766577,38,2
upa+N616+E21,7.918528,18.73171859346472,39,2
lcx+N389+E14,21.009184,18.701516885777735,42,2
whe+N486+E149,22.884711,18.69616448789654,44,2
sml+N135+E72,22.000302,18.68236918278015,46,2
lcx+N120+E14,17.577492,18.6424246081297,49,2
oob+N284+E138,29.413825,18.611982987492866,52,2
irl+N2+E47,6.286878,18.58310607952896,55,2
feb+N510+E165,18.575561,18.546330674216065,63,2
pbz+N315+E175,4.580636,18.528505493942035,67,2
irl+N697+E47,13.963017,18.528501560942857,68,2
lcy-e+N116+E92,20.44669,18.522669130162,71,2
uon+N113+E79,27.007329,18.51837015506061,73,2
lcx+N374+E14,23.195958,18.517345091274876,74,2
yfi+N272+E128,14.247484,18.509948154821046,76,2
sml+N135+E160,23.923108,18.504996922855995,77,2
uon+N719+E79,27.510988,18.490624294860282,79,2
osb+N653+E14,24.876112,32.67523841089951,1,3
bcg+N389+E50,15.813797,29.43116732640874,3,3
neb+N238+E84,25.208436,27.990558238793255,5,3
neb+N136+E84,13.085934,27.82471510360847,6,3
hcp+N419+E156,23.269196,26.06390047783475,7,3
hcp+N419+E38,27.511894,25.997662764993038,8,3
uon+N305+E79,22.997265,25.41296873053716,9,3
oob+N599+E138,29.917061,25.320404687507562,10,3
oob+N446+E138,26.355159,24.9693683458313,11,3
vmv+N189+E179,18.467548,24.45197348726333,14,3
vmv+N586+E14,26.756586,24.272399243785912,15,3
whe+N265+E203,15.873796,23.561519487113173,17,3
sml+N135+E185,13.056246,22.790187502861045,20,3
lcx+N374+E221,23.102339,22.298195194634445,23,3
wjx+N272+E212,11.817175,21.54924649839552,29,3
wjx+N272+E136,6.504172,21.538554653706683,30,3
wjx+N272+E188,9.141766,21.511928304384355,31,3
vme+N125+E167,24.152576,21.319329276731594,33,3
