filename,uptake,surrogate_pred_g_L,surrogate_rank,iteration
uog+N188+E147,9.812937,23.067825409225463,36,5
uog+N288+E147,9.694278,23.062715810183988,37,5
uog+N288+E24,7.010384,23.014427786254828,39,5
cab+N242+E149,13.022139,23.00853177155841,40,5
eca+N432+E138,23.13541,22.93677155331642,43,5
snw+N555+E219,20.09292,22.93250598433883,45,5
wlc+N254+E104,9.895411,22.86002831951538,46,5
lcy-a-x+N206+E123,10.382926,22.80552761191217,49,5
foa+N482+E53,26.201747,22.793620774244573,50,5
utp+N117+E158,19.045431,22.7926425909219,51,5
vmt+N241+E219,23.6358,22.765309810666622,52,5
eca+N432+E86,28.326833,22.758608035331235,53,5
cab+N242+E21,6.846532,22.754728945491024,54,5
vmt+N542+E16,32.525069,22.739696210730813,56,5
reo-e+N324+E95,23.723717,22.716757685651203,60,5
utp+N415+E57,3.66034,22.684590762105245,68,5
vmg+N422+E162,21.689684,22.68090680427781,69,5
utp+N415+E190,4.582497,22.674052371785876,70,5
vmg+N101+E162,18.152576,22.660414158048013,74,5
wlc+N254+E47,9.022209,22.601558726323447,77,5
wlc+N254+E96,10.566364,22.56665974432704,78,5
smi+N65+E151,18.980291,22.563779654694486,79,5
vmt+N542+E72,33.218783,30.769221387448795,1,6
sxb+N536+E16,28.975965,30.363726541995675,4,6
qtz-x+N394+E52,24.124981,29.531229263970943,6,6
hjm+N127+E41,12.893876,28.893960626305386,8,6
zfu+N272+E205,20.726452,27.88752328036736,10,6
smk+N30+E202,16.989569,27.342659789788797,11,6
vbf+N272+E16,19.200945,27.159521105625913,12,6
reo+N629+E64,18.803146,26.85093462594324,14,6
vbf+N206+E16,21.08297,26.700735575406668,15,6
osc+N567+E71,26.168608,25.69383682701607,19,6
vmx+N635+E9,10.185179,25.587526845230315,21,6
vbo+N491+E41,12.151261,25.359044332801517,22,6
vmx+N635+E127,25.135492,25.269547406238758,23,6
osc+N308+E71,24.344562,24.787516887921072,24,6
foa+N133+E53,26.986112,24.00712043036404,26,6
eca+N432+E53,27.87782,23.566790998247683,27,6
crr+N515+E182,12.774545,23.319963626393587,29,6
crr+N136+E182,11.202286,23.16452034310339,30,6
vmg+N422+E49,15.391906,22.842648416066822,33,6
whm+N198+E132,18.605746,22.71448631024677,35,6
vmg+N422+E127,22.47147,22.62043941878585,36,6
vmg+N422+E63,24.991869,22.563497768084034,37,6
wma+N612+E127,23.367331,22.34423681217686,40,6
smv+N433+E149,16.420484,22.106273474868942,42,6
wgc+N242+E92,29.074339,22.106017236358696,43,6
reo-e+N521+E95,23.106495,22.067529952418482,44,6
uov+N127+E16,10.291998,21.957674183680126,46,6
vbn+N589+E79,25.761606,21.914775009309267,48,6
vbn+N195+E79,26.045565,21.912948444253118,49,6
vbn+N265+E79,26.680523,21.866463229244772,50,6
qtz-e+N101+E107,13.8097,21.856320166323968,51,6
uov+N547+E16,16.509859,21.79992388812707,53,6
qtz-e+N278+E107,14.811358,21.762811722002823,54,6
uov+N127+E41,4.56041,21.602131564159464,56,6
pcb+N310+E136,7.160889,21.327701851026774,58,6
wim+N504+E132,17.832765,21.26047257040682,59,6
vmd+N135+E127,10.777253,21.234904122303305,63,6
whx+N494+E216,20.414373,21.150089175411722,67,6
vmd+N506+E127,24.409384,21.14288549715829,68,6
pcb+N700+E136,3.559202,21.132355479460188,69,6
smk+N234+E156,28.06063,31.483274285948255,2,7
qtz-x+N568+E215,29.589079,31.458583791262754,3,7
qtz-x+N392+E215,31.977802,31.421850920683255,4,7
