filename,uptake,surrogate_pred_g_L,surrogate_rank,iteration
wme+N152+E71,25.206967,19.84689137901978,3,2
wme+N152+E11,19.448691,19.57477078529621,4,2
tfs+N453+E128,29.917578,19.231401821539805,6,2
rac+N719+E184,25.225739,18.88995976752642,7,2
rac+N156+E138,19.481534,18.889537682535092,8,2
qzd+N417+E68,15.020753,18.717660156768716,9,2
vmv+N625+E224,20.452146,18.66397066354068,10,2
wke+N206+E25,19.538573,18.488706576255254,11,2
vmv+N625+E11,22.880471,18.416028199211667,13,2
fcu+N118+E216,13.845183,18.415356251198716,14,2
wmm+N92+E160,24.251236,18.323357957127314,17,2
vmv+N625+E112,18.84241,18.317742391590514,18,2
wmm+N92+E173,21.900917,18.308895546638496,19,2
fcu+N118+E23,29.559188,18.260830088880198,21,2
wmm+N92+E8,20.021526,18.225673514744642,23,2
deh+N415+E186,4.276294,18.20467796265092,26,2
qzd+N697+E68,24.299293,18.17802096621699,28,2
ecu+N582+E185,18.377097,18.14133062839221,33,2
wkq+N36+E16,18.237313,18.14036999683168,34,2
sxg+N521+E132,26.561777,18.119799353040264,36,2
wkq+N425+E16,21.190844,18.11561238285873,38,2
wfc+N444+E18,29.95065,18.097197336999614,40,2
ecu+N626+E185,20.056141,18.096403986614575,41,2
fcu+N118+E38,27.260779,18.068045239488185,44,2
wke+N206+E166,13.699031,18.05205612358759,46,2
qzd+N434+E68,20.194558,18.03782169546031,48,2
cdl+N52+E85,27.97359,18.02158553984907,49,2
vbw+N92+E123,22.371157,18.002492899355047,52,2
lcy-a-x+N364+E66,6.862037,17.997239423451276,53,2
cco+N24+E73,21.591737,17.995524262031665,54,2
ecu+N241+E185,21.206189,17.98091503937195,57,2
cco+N24+E131,16.203801,17.925881650118015,63,2
vmz+N78+E7,12.383964,17.909649729473244,67,2
snl+N106+E166,24.171545,17.903037535160934,68,2
wip+N33+E14,11.623884,17.900990634701316,70,2
lvt-a+N137+E202,3.788049,17.886099080943723,78,2
vmz+N362+E7,9.29002,17.883974539432188,80,2
tfs+N453+E101,15.827829,27.626677707335148,4,3
fcu+N419+E38,25.251548,26.304828992663715,5,3
qzd+N697+E184,18.100676,25.42451904614336,7,3
qzd+N697+E128,27.598092,25.38566540476222,8,3
qzd+N697+E31,14.537736,25.382472344828784,9,3
sxg+N36+E132,25.251036,24.481579567894187,13,3
sxa+N336+E209,23.44947,23.777013199554858,17,3
sxa+N336+E4,23.309628,23.74658110121345,18,3
rac+N719+E31,11.634032,23.722696199392885,19,3
vmv+N132+E11,26.877228,22.508144874224854,20,3
vmv+N78+E11,27.917051,22.462047664525926,21,3
ecf+N423+E188,23.756332,22.020621975440008,23,3
cco+N663+E73,18.874113,21.400964155221118,27,3
cco+N344+E73,19.177507,21.31869222041132,28,3
wke+N133+E128,19.364304,20.919997401660112,30,3
ecu+N241+E163,20.748805,20.760446094795043,33,3
lhb+N64+E113,19.673385,20.57192376873263,42,3
irl+N649+E152,6.213155,20.4554897534681,45,3
irl+N34+E152,7.508802,20.41518926951585,46,3
smi+N232+E29,23.621513,20.346868769439425,47,3
smi+N232+E204,22.393312,20.335190305267588,48,3
vmu+N587+E45,24.41264,20.026292873788407,70,3
wiw+N246+E13,9.444832,20.008175004290933,72,3
xfe+N599+E73,29.515451,19.987783757472698,75,3
vmu+N587+E16,25.944245,19.927147752716337,80,3
qzd+N115+E128,26.207047,26.540210221889538,9,4
qzd+N200+E128,23.596052,26.504057600183387,10,4
wme+N441+E71,12.448945,26.175766341389135,12,4
vmv+N67+E11,30.053199,25.760082124283144,14,4
cdl+N52+E44,26.65647,25.69429119182041,15,4
sxg+N480+E132,28.059518,25.18994297134077,16,4
sms+N155+E204,21.121236,24.98565322872855,18,4
sxa+N336+E131,16.491515,24.34314528012078,19,4
vmu+N587+E206,19.189741,23.6304104517842,21,4
wmm+N183+E160,22.076369,23.49327617001086,22,4
snl+N214+E166,28.692442,23.450488693081525,25,4
wmm+N481+E160,22.152652,23.393157180527623,27,4
rac+N719+E18,30.508187,23.392898051340808,28,4
ecf+N124+E234,22.513889,23.05576195897379,29,4
sve+N284+E128,26.978748,22.74617187318563,30,4
smi+N232+E128,25.464695,22.692551402197978,31,4
sve+N446+E128,26.516929,22.65921763042752,32,4
smi+N232+E7,5.996078,22.508582800023987,33,4
sve+N233+E128,29.519027,22.380432756765686,34,4
vbw+N92+E205,25.83916,22.247237484640664,35,4
lcv+N73+E128,13.105041,22.095938430688648,37,4
wgz+N220+E195,23.898055,21.932253247615563,40,4
wna+N341+E73,26.240092,21.93050904577899,41,4
gpu+N24+E128,23.511404,21.63305703031756,51,4
eta+N246+E128,9.215551,21.40567977919204,62,4
fst+N206+E187,8.666167,21.390084466296912,65,4
eta+N18+E128,4.465878,21.355778960075895,68,4
ecu+N241+E4,15.447426,21.33986547590075,70,4
eta+N60+E128,18.073861,21.33327449223293,71,4
ecu+N632+E185,12.638634,21.322616574381527,74,4
xfa+N599+E128,29.906428,21.31024274569654,77,4
fcu+N8+E23,16.65593,29.633226467324675,2,5
rac+N710+E18,19.946486,29.146845046423095,3,5
rac+N448+E18,28.89152,29.137911738272578,4,5
tfs+N589+E128,30.108046,27.38728629495472,10,5
vmv+N673+E11,21.399172,26.052481256316696,13,5
vmv+N337+E11,28.671998,26.02956255898289,14,5
sve+N233+E39,10.149804,25.39616301985143,15,5
cdl+N52+E68,21.843247,25.375612485501733,16,5
qzd+N580+E128,26.077457,25.169466244562955,18,5
xfa+N599+E138,30.553496,25.00689548261994,20,5
wme+N152+E158,21.339196,23.35843941757321,24,5
vbw+N92+E234,16.016637,23.288163434301623,25,5
sxa+N336+E80,28.402326,22.260609834966772,34,5
vct+N189+E70,30.271861,21.84006953211599,40,5
gan+N300+E50,24.929841,21.834379540513623,41,5
vct+N617+E70,27.199295,21.824484886200366,42,5
vct+N124+E70,23.812965,21.814047474532913,43,5
wma+N555+E44,13.335348,21.60656076800592,46,5
wma+N555+E73,18.643605,21.59612442307855,47,5
ecr+N692+E104,20.696121,21.545399225350934,52,5
wma+N555+E40,22.040856,21.49290067890945,55,5
sxc+N589+E123,30.868279,21.458728727092762,57,5
xbj+N383+E228,16.890065,21.444166871568655,60,5
sxc+N147+E123,20.459469,21.44370966676911,61,5
sxc+N167+E123,24.530812,21.42544579646119,62,5
gpu+N490+E128,24.390556,21.41521938598214,63,5
xbj+N572+E166,21.07846,21.406175990255065,64,5
xbj+N391+E18,22.602669,21.397305833117457,65,5
smd+N134+E50,20.859397,21.381004764562135,66,5
snw+N173+E136,16.780072,21.344370349938004,70,5
ukb+N109+E132,18.960637,21.329294325693922,72,5
snw+N576+E136,13.47207,21.278182541360252,75,5
afw+N708+E35,6.217934,21.267545222601257,78,5
sve+N583+E128,32.580314,29.00943159946837,1,6
rac+N398+E18,27.572628,28.828858514993044,2,6
wfc+N650+E18,27.263746,28.182647463963804,4,6
tfs+N589+E199,24.346643,28.068965886057413,6,6
tfs+N567+E128,27.197221,27.59053961470272,8,6
rac+N153+E18,35.277404,27.475212708624895,9,6
vmv+N632+E11,27.459237,27.35250369619098,10,6
xfa+N599+E173,24.581957,27.105309961829334,12,6
sxg+N314+E132,26.398755,26.933690288937214,13,6
sxa+N438+E80,26.758736,26.715462237389147,14,6
sxa+N568+E80,26.275371,26.118506305860137,17,6
qzd+N93+E128,30.389141,25.85053105046609,18,6
vct+N38+E70,24.647348,25.788713900847142,19,6
vct+N132+E70,19.082802,25.7279465311658,20,6
fcu+N187+E38,27.075213,24.49132511157586,25,6
cdl+N52+E36,18.179397,24.46642143783174,26,6
vmu+N199+E16,23.91408,23.68150779196185,28,6
vmu+N241+E16,27.588656,23.564758047130454,29,6
sxc+N167+E85,32.942188,23.22761213553531,32,6
gpu+N510+E128,23.188347,22.945673881684343,34,6
wgz+N425+E195,23.961237,22.79906849636791,36,6
ecf+N261+E188,23.255101,22.60925852607943,39,6
wme+N152+E160,21.668002,22.45662657957473,40,6
eta+N60+E18,5.952179,22.350253295372568,42,6
eta+N60+E190,5.513504,22.28571769518203,43,6
eta+N60+E59,3.094031,22.277203163953345,44,6
wml+N139+E128,18.295776,21.485166071447566,48,6
wma+N501+E40,10.458307,21.47808741710469,50,6
xbj+N254+E18,22.532319,21.45001232283994,52,6
wma+N433+E40,19.025729,21.41633840224131,53,6
xbj+N572+E18,27.014096,21.3768400115041,54,6
wma+N678+E40,15.963102,21.375643026847683,55,6
wiq+N278+E132,23.073711,21.25644400578767,63,6
cco+N24+E53,28.078772,21.159126755886973,68,6
ecu+N337+E163,24.640435,21.149853068894117,71,6
skb+N572+E107,10.304014,21.14383365764934,72,6
bcu+N352+E128,24.976348,21.14380358582821,73,6
wml+N155+E128,22.21818,21.11015595178651,76,6
ctn-e+N254+E18,11.475014,21.100582177459728,77,6
ctn-e+N133+E11,10.1274,21.079439794573773,80,6
sxc+N589+E85,32.409718,37.17267758102662,1,7
sxc+N384+E85,33.130115,33.23973956935231,2,7
sxc+N536+E85,27.648824,33.19864846831206,3,7
sve+N583+E175,32.388791,30.91864834736168,4,7
sve+N583+E233,22.882507,30.59138630572943,5,7
vmv+N67+E73,27.492883,29.817902684505498,6,7
rac+N449+E18,26.80564,29.70189485225626,7,7
vmv+N67+E96,27.2044,29.671363606033196,8,7
snl+N214+E1,9.966677,29.29470916964101,11,7
xfa+N599+E97,16.063917,28.864731057620702,14,7
tfs+N494+E128,17.582486,28.010097595768116,18,7
cco+N510+E53,30.127813,27.552306298983467,21,7
cdl+N562+E85,22.234828,27.292906662864084,24,7
sxg+N384+E132,27.397368,27.285472448922064,25,7
cdl+N387+E85,22.635427,27.106121064053127,26,7
ecu+N337+E119,25.411092,26.978196942304578,27,7
vmu+N241+E45,22.388886,26.96924490607711,28,7
ecu+N337+E211,26.601867,26.900324178640005,30,7
sms+N198+E47,12.635377,26.736994731978086,34,7
fcu+N187+E22,19.917476,26.605288602077565,38,7
fcu+N187+E68,30.977053,26.301631985310564,40,7
fcu+N187+E53,31.981815,26.30122224252142,41,7
xbj+N572+E28,7.699754,25.431922844469398,47,7
xbj+N206+E18,23.68174,25.388217523859964,48,7
bcu+N352+E137,27.318018,25.132598165194395,49,7
bcu+N352+E71,26.053672,24.970957879935668,50,7
wgz+N425+E181,17.313202,24.702297277967432,51,7
wme+N453+E71,25.950883,24.639974837261548,52,7
wme+N6+E71,27.485486,24.325541163058404,59,7
fne+N254+E128,26.646114,23.703269072661556,60,7
ecf+N261+E28,11.7321,23.559901931240177,63,7
wmm+N422+E160,25.908975,23.532243211286527,65,7
fne+N300+E128,21.382011,23.312606365370357,72,7
fne+N482+E128,30.360529,23.221646927576444,74,7
ecd+N507+E65,19.565754,23.068111934470892,77,7
eci+N69+E16,26.423061,23.028290733204813,78,7
sxc+N556+E85,35.214296,32.07359941191453,1,8
sve+N599+E128,28.610202,32.0193245841715,2,8
rac+N461+E18,20.026061,30.52586505246245,3,8
qzd+N346+E128,27.426222,28.284534847826762,4,8
qzd+N68+E128,27.757927,27.982921454137795,5,8
vmv+N357+E11,28.459634,27.948457712459458,6,8
sxg+N334+E132,24.450001,27.162304911456886,8,8
vmu+N664+E16,27.553557,26.66101321428755,11,8
xfe+N446+E73,29.588907,26.18282662451611,12,8
sxa+N336+E13,21.048669,26.09971563140357,13,8
sxa+N336+E188,30.093255,25.95619526105088,14,8
cco+N510+E128,21.428303,25.771500928423848,16,8
bcu+N352+E28,15.207303,25.383317732263095,17,8
bcu+N226+E128,24.852219,25.27590898384915,18,8
ecu+N337+E127,14.908128,24.750910855165785,20,8
snl+N198+E166,26.947317,24.619500448141025,21,8
fne+N172+E128,26.803978,24.452788880603748,22,8
snl+N234+E166,30.95733,24.412797131107254,23,8
wfc+N401+E18,23.885609,24.344207050146906,25,8
tfs+N638+E128,24.306174,24.339857341934476,26,8
whg+N222+E44,23.82346,24.321370647234744,27,8
vct+N389+E70,26.998321,24.254493666070175,29,8
tfs+N589+E101,13.500723,24.244319418552095,30,8
fne+N272+E128,24.049935,24.240341026894384,31,8
vct+N26+E70,23.917173,24.184432232391828,34,8
wko+N643+E44,22.791122,23.94622548839027,38,8
uoq+N276+E131,17.481798,23.89261111714211,41,8
wkj+N392+E44,11.568993,23.844678889214038,45,8
snp+N123+E16,26.718608,23.70531778603049,49,8
cdl+N219+E85,20.105075,23.69038012104727,51,8
cdl+N424+E85,14.41874,23.689719229755497,52,8
thp+N632+E13,24.585406,23.660970241164932,56,8
uoq+N317+E131,16.339393,23.618945381352432,59,8
wmm+N422+E199,25.849409,23.604635345697943,62,8
uoq+N346+E131,9.019898,23.539216021148945,70,8
snp+N556+E89,21.95968,23.496764842973562,75,8
wha+N373+E37,17.13024,23.49216817012052,76,8
xfa+N599+E195,29.042273,23.477438338056686,78,8
srs-f+N206+E202,7.260172,23.471307266934787,79,8
rac+N153+E203,9.853043,34.56783817681497,1,9
rac+N153+E181,14.773323,34.41021590352699,2,9
sxc+N481+E85,28.063883,32.478938682312275,3,9
fcu+N187+E23,30.182018,32.04291668548814,4,9
sxa+N595+E188,26.286165,30.761920939738957,6,9
sxa+N135+E188,22.00444,30.71613520944271,7,9
cco+N243+E53,29.30914,30.577448442131242,8,9
cco+N83+E53,31.132186,30.53084451095947,9,9
vct+N189+E127,29.283632,30.454461333846325,10,9
xfe+N446+E45,27.154688,30.306246651717515,12,9
fne+N482+E79,25.480327,29.051752191679384,17,9
fne+N482+E186,19.584967,29.043146471756415,18,9
vmv+N67+E64,16.847218,28.472178913935068,19,9
vmv+N67+E194,14.986689,28.389417723484428,20,9
wfc+N444+E31,15.693391,28.18139186979073,21,9
snp+N105+E16,28.501682,27.237622084055033,24,9
eci+N69+E203,17.774701,27.18044771951338,25,9
eci+N69+E19,24.75648,27.10136757354792,26,9
snp+N54+E16,23.075137,27.0703197724676,27,9
bcu+N352+E223,19.500494,26.687915716631608,29,9
ecu+N426+E119,28.253234,26.534044103659596,30,9
vbw+N222+E205,27.828871,26.229911446915253,34,9
wme+N6+E175,32.242475,25.806007761377828,38,9
wme+N6+E3,28.840346,25.757802666097746,40,9
cdl+N113+E85,32.120006,25.718162036914975,41,9
cdl+N376+E85,16.945911,25.554270901036546,44,9
whg+N508+E44,12.018947,25.08596864509059,45,9
wml+N155+E18,22.60194,25.028161292161514,46,9
xbj+N242+E18,28.869287,24.856933421226415,48,9
whg+N667+E44,20.089782,24.856079123253437,49,9
smi+N324+E29,22.127052,24.823528565628095,50,9
smi+N638+E29,18.989287,24.731531674958518,51,9
smi+N37+E29,22.377287,24.697907658411395,52,9
xbj+N671+E18,22.84247,24.620474227653403,54,9
wml+N155+E110,11.870951,24.58777799245621,55,9
ecf+N653+E188,17.771138,24.471731840338066,56,9
deh-d+N663+E128,8.584758,23.57293667452437,65,9
deh-d+N510+E128,14.315644,23.255078311338423,71,9
npo+N627+E9,2.946544,23.24682905025277,72,9
deh-d+N24+E128,14.188351,23.16937091017212,74,9
sxc+N135+E85,23.164485,33.95878900883929,1,10
tfs+N681+E128,19.465702,27.517922297177506,5,10
vmv+N357+E96,24.93258,27.393120391345633,6,10
vmv+N337+E96,23.823688,27.264140041987787,7,10
xfa+N583+E128,29.929684,27.240267086792272,8,10
tfs+N540+E128,30.388481,27.046789691728122,9,10
fne+N242+E128,31.776341,26.90916558992518,11,10
xfa+N599+E203,16.301655,26.905808234171218,12,10
sxa+N198+E80,26.226954,26.596758011365296,13,10
sxa+N681+E80,21.238111,26.493633338041548,14,10
snp+N105+E159,25.883789,26.1550711937565,16,10
snp+N105+E131,24.058779,25.826276214893312,17,10
cdl+N113+E53,16.886875,25.696659007185104,18,10
sxg+N690+E132,20.933623,25.43416385983727,21,10
snl+N234+E131,30.179265,25.36787819981589,22,10
wmm+N422+E45,20.848768,25.19661698347005,23,10
snl+N234+E228,28.437027,24.961671649844902,27,10
wgz+N339+E195,22.635305,24.765118611149404,30,10
smi+N33+E128,26.292648,24.341234410764756,33,10
thp+N632+E50,19.082498,24.2646035601431,34,10
smi+N162+E128,25.945236,24.26313423388163,35,10
bcu+N352+E22,17.771394,24.245007175333342,36,10
ecf+N124+E108,21.114422,24.162987292049053,37,10
wgz+N295+E195,23.731418,24.070262777544627,42,10
cab+N133+E217,18.960206,23.924677087483744,46,10
mdf+N161+E160,32.22668,23.822683127603355,48,10
mdf+N161+E36,11.104758,23.809368150137317,49,10
cab+N651+E217,20.847989,23.762317501829386,52,10
mdf+N161+E123,30.292499,23.717558770592177,56,10
whu+N501+E70,10.144122,23.652757467204665,58,10
wiq+N529+E14,21.122828,23.63441998344284,59,10
fni+N391+E128,18.156964,23.595720639477108,60,10
unb+N310+E98,9.555133,23.414654252339204,65,10
whu+N666+E70,21.085708,23.371111478228798,69,10
unm+N387+E233,13.997939,23.30452714323596,72,10
vme+N328+E128,31.006108,23.278579996649853,76,10
unm+N700+E233,8.120921,23.251981605499807,77,10
fni+N391+E2,5.557476,23.207196463751103,78,10
vme+N508+E128,25.312671,23.172251277370577,80,10
