filename,uptake,iteration,beam
uom+N448+E187,7.1020312223544,1,random
smv+N197+E138,21.50786332808463,1,random
reo+N629+E120,28.583610313341435,1,random
wht+N356+E145,11.730091490791244,1,random
hex+N38+E162,16.439402539085965,1,random
soe+N300+E147,13.189577198066685,1,random
yfj+N383+E112,13.161776454154088,1,random
tfs+N306+E66,17.509436332521844,1,random
wgc+N572+E92,22.25210306819101,1,random
pcu+N309+E126,14.812502255479194,1,random
wkp+N270+E44,33.8759768588497,1,random
unh+N580+E156,12.123463277270051,1,random
unh+N654+E111,5.730886013062002,1,random
vbn+N508+E79,22.38445200634657,1,random
sow+N409+E176,17.621548728450584,1,random
bcg+N329+E59,13.843488679379936,1,random
wji+N282+E19,10.000635258636668,1,random
fnt+N651+E65,13.82405116870904,1,random
uou+N164+E189,12.121232989994136,1,random
yff+N242+E219,8.632148906314452,1,random
osc+N278+E119,18.67317871502896,1,random
qtz-x+N382+E215,32.670708411595086,1,random
wmk+N691+E30,10.682828912598913,1,random
smk+N341+E156,24.4496403905986,1,random
smk+N678+E182,19.961516747162868,1,random
ecf+N412+E12,13.701436049273958,1,random
unb+N215+E65,6.943582671948895,1,random
zfr+N383+E209,8.21628455162748,1,random
uni+N398+E134,17.37611996161869,1,random
osc+N308+E138,23.830332192651262,1,random
zfu+N482+E66,21.322495417552343,1,random
snk+N105+E78,12.970217851661037,1,random
wjy+N300+E158,11.80728121794171,1,random
snq+N197+E203,9.5781536313987,1,random
lon+N649+E36,5.1018896415018125,1,random
yfd+N300+E27,9.814648577705178,1,random
whw+N222+E206,20.74092892047982,1,random
yfe+N272+E51,16.199982365934687,1,random
sxb+N577+E132,27.15381225646175,1,random
whw+N334+E212,18.513882224253145,1,random
