filename,uptake,iteration,beam
unf+N520+E224,9.552750592792542,1,random
tfs+N529+E128,24.09404602017758,1,random
wke+N206+E128,20.96919436753413,1,random
vbn+N529+E181,17.972984442835475,1,random
wlb+N383+E4,10.171500044308988,1,random
vmc+N242+E233,9.443279299597036,1,random
wme+N152+E175,23.53367819234798,1,random
smi+N232+E166,19.65061874176587,1,random
rkf+N479+E34,16.249392209037705,1,random
sms+N198+E204,26.66319034580217,1,random
acs-g+N137+E31,3.449337104434957,1,random
umx+N409+E113,6.950993388560304,1,random
wfa+N153+E11,19.201153393346125,1,random
wmj+N628+E8,13.305135137402113,1,random
wja+N308+E57,11.224573992754928,1,random
tzs+N450+E132,6.60257356757352,1,random
uou+N32+E31,4.205002826026746,1,random
svf+N599+E199,20.26005855597556,1,random
yfi+N572+E81,13.681190385818006,1,random
zfj+N172+E113,15.104669027646558,1,random
vcs+N189+E98,15.77711476067406,1,random
rob+N106+E165,9.24974921051418,1,random
upb+N267+E206,14.003260187078538,1,random
sxa+N336+E45,25.72773539151448,1,random
vbu+N134+E33,8.653810721146668,1,random
uon+N551+E13,11.870983040530176,1,random
vbw+N197+E179,14.98647285499667,1,random
qtz+N158+E102,14.922428004135275,1,random
ecf+N124+E188,23.335875556926524,1,random
fns+N572+E150,10.773668827613342,1,random
wgb+N254+E228,16.498931267821945,1,random
fnq+N651+E120,16.700696876021055,1,random
umf+N237+E141,5.811527283480582,1,random
rac+N156+E184,21.71933207576869,1,random
vbw+N308+E23,14.071191291456875,1,random
mok+N34+E31,9.71377207007118,1,random
pcb+N109+E112,9.646950531953532,1,random
lcy-e+N559+E111,10.74190843392728,1,random
smu+N529+E64,9.172835308000952,1,random
eci+N566+E141,14.885212930714292,1,random
