filename,uptake,iteration,beam
osc+N628+E154,15.657702124340972,1,random
vmg+N533+E204,28.127850569604608,1,random
rob+N151+E119,28.993201896266008,1,random
whg+N691+E51,13.624179424769478,1,random
snl+N36+E13,25.50075601671169,1,random
sxb+N384+E219,24.64730613061253,1,random
zfb+N206+E57,17.23963932181542,1,random
sxc+N40+E137,15.299201592592333,1,random
sxc+N16+E52,27.9069678432501,1,random
uoj+N288+E188,8.000979971986668,1,random
afw+N219+E13,7.72815823975848,1,random
sod+N310+E127,10.573884538613592,1,random
wku+N599+E127,24.958557861871977,1,random
tfs+N634+E223,11.695108592486772,1,random
vmg+N508+E8,12.096067046907852,1,random
atn+N156+E18,11.364767136160692,1,random
dmp+N404+E87,10.73024957347109,1,random
uon+N534+E147,15.73001297097329,1,random
msp+N520+E156,22.182081130575373,1,random
unh+N371+E166,10.959325380734857,1,random
hex+N329+E177,30.006602092744465,1,random
etd+N246+E113,3.426342052023738,1,random
wkg+N628+E72,19.93962058493648,1,random
yan+N583+E2,13.571401760153613,1,random
yfx+N254+E12,7.714353447022194,1,random
vmc+N383+E202,27.67271229066253,1,random
vbp+N125+E154,19.325542976699083,1,random
qtz-h+N519+E50,4.216293797795676,1,random
soj+N508+E38,10.986427732497823,1,random
unm+N697+E45,14.862307709061948,1,random
fnw+N383+E177,21.366747801869955,1,random
unm+N562+E24,7.185903936527989,1,random
sxc+N489+E86,27.031280891987777,1,random
smk+N59+E79,25.01061447755281,1,random
whj+N554+E155,13.040476698242994,1,random
umf+N259+E173,10.429619824889832,1,random
afw+N282+E204,12.44128734787494,1,random
wkb+N482+E92,27.045014581469857,1,random
nov+N254+E199,17.77858549503818,1,random
umw+N109+E194,4.020183634937466,1,random
