filename,uptake,lvgp_mean,lvgp_std,ei,surrogate_rank,iteration
cag+N434+E35,5.905229,30.880680084228516,2.153651475906372,4.237922668457031,4,2
whr+N433+E14,19.161282,30.65523910522461,1.9675168991088867,4.007500648498535,11,2
sod-e+N554+E228,11.326204,30.394847869873047,1.050396203994751,3.7317068576812744,18,2
ukg+N360+E71,19.907918,30.373271942138672,1.5540066957473755,3.7144715785980225,19,2
vcf+N422+E72,20.751333,30.23370361328125,1.294899821281433,3.5716490745544434,25,2
unr+N700+E18,4.617246,30.11298370361328,2.0659234523773193,3.4904391765594482,29,2
wkb+N254+E35,8.87909,30.105205535888672,1.6253247261047363,3.45202374458313,31,2
whg+N518+E11,22.655223,29.957868576049805,2.3788814544677734,3.3848350048065186,33,2
zfe+N254+E228,15.289189,30.04181671142578,1.4200026988983154,3.3827366828918457,35,2
hbo+N360+E204,8.672238,30.043853759765625,0.7044245004653931,3.3806629180908203,37,2
zga+N364+E228,15.696518,29.796154022216797,2.660400390625,3.2891972064971924,45,2
zfe+N482+E110,11.778685,29.63551139831543,1.9590827226638794,3.0275211334228516,62,2
wkb+N364+E49,13.029204,29.536617279052734,2.189517021179199,2.970520257949829,67,2
vmq+N284+E228,24.711185,29.581993103027344,1.3338805437088013,2.9255430698394775,71,2
wkb+N254+E14,17.095815,29.49081039428711,2.0196192264556885,2.901662826538086,73,2
wim+N433+E136,9.828532,29.49130630493164,2.014721393585205,2.9013874530792236,74,2
dmp+N547+E184,23.170789,29.343355178833008,2.1574454307556152,2.7910728454589844,80,2
dia-g+N499+E84,7.443103,35.54106521606445,1.4017270803451538,8.877874374389648,1,3
gsi+N73+E29,13.597493,33.53268051147461,0.5379177331924438,6.869489669799805,14,3
vbu+N125+E29,22.162399,31.494014739990234,1.3626964092254639,4.830890655517578,32,3
bct+N247+E159,12.485842,31.06847381591797,0.5458113551139832,4.405282974243164,44,3
ose+N233+E96,20.312489,31.025863647460938,1.2181278467178345,4.362724304199219,45,3
vnb+N401+E14,25.645989,30.74169921875,1.0775314569473267,4.078527927398682,51,3
bct+N490+E29,27.434025,30.612918853759766,0.509252667427063,3.949728012084961,52,3
vbu+N669+E84,25.800082,30.511104583740234,1.5783880949020386,3.8517422676086426,56,3
bnn+N332+E110,5.275584,30.514015197753906,0.624142587184906,3.8508243560791016,57,3
nce+N401+E96,27.843195,30.45821762084961,1.0034806728363037,3.7950451374053955,60,3
una+N76+E84,17.990077,30.362770080566406,0.821989119052887,3.6995797157287598,66,3
est+N332+E84,18.866419,30.360633850097656,0.6106503009796143,3.6974430084228516,67,3
umw+N390+E160,15.985546,33.40312957763672,1.9362825155258179,5.561091423034668,1,4
vmf+N36+E212,22.126594,32.971435546875,2.3539509773254395,5.140465259552002,2,4
sxb+N9+E65,21.622551,32.1656379699707,3.736929178237915,4.551413059234619,9,4
uni+N346+E212,15.580126,31.685178756713867,1.9276665449142456,3.8586573600769043,24,4
ecs+N625+E160,20.754303,31.665502548217773,1.5984957218170166,3.826772928237915,27,4
wnk+N284+E65,21.944144,31.632835388183594,0.9567679166793823,3.7896485328674316,31,4
whf+N668+E160,16.969103,31.306873321533203,3.5109589099884033,3.7637741565704346,33,4
vbm+N37+E160,25.738292,31.465484619140625,1.65483558177948,3.6306354999542236,41,4
sne+N556+E212,26.86626,31.418407440185547,1.6014424562454224,3.5823445320129395,43,4
sxb+N324+E53,24.027894,30.887683868408203,3.9749720096588135,3.5516881942749023,48,4
uni+N346+E165,29.037411,31.34090805053711,1.811099886894226,3.516164541244507,50,4
sxb+N147+E96,20.730565,31.121856689453125,2.829892873764038,3.45139217376709,53,4
vcr+N284+E53,24.229417,30.932083129882812,3.3710410594940186,3.417449951171875,56,4
uni+N342+E40,6.634542,30.677289962768555,2.2398617267608643,1.9428520202636719,3,5
uni+N288+E189,9.078038,30.60936164855957,1.5156874656677246,1.689554214477539,6,5
uni+N455+E182,19.349509,30.386493682861328,1.9626494646072388,1.6355478763580322,7,5
umk+N424+E182,8.495791,29.94037628173828,2.2346959114074707,1.414801836013794,10,5
umw+N335+E165,19.305257,30.418100357055664,0.9108215570449829,1.406431794166565,11,5
umw+N524+E216,16.777876,29.867835998535156,2.2311465740203857,1.3662621974945068,12,5
umk+N2+E1,3.690541,29.66643524169922,2.279644250869751,1.2583624124526978,14,5
ile+N490+E86,14.262461,29.209266662597656,2.489292621612549,1.0813777446746826,22,5
sms+N92+E162,29.131913,28.965917587280273,2.6906886100769043,1.0380617380142212,26,5
ile+N490+E41,22.710389,28.626708984375,3.0170278549194336,1.009403944015503,27,5
uku+N710+E216,12.566828,29.324058532714844,1.747205138206482,0.8497175574302673,36,5
