filename,uptake,lvgp_mean,lvgp_std,ei,surrogate_rank,iteration
wgb+N172+E14,16.423917,33.554176330566406,1.6962077617645264,3.558807611465454,7,2
tzs+N2+E160,7.302802,33.06150817871094,2.337164878845215,3.159717082977295,15,2
uku+N2+E160,6.783908,33.14625549316406,1.5802026987075806,3.153550624847412,16,2
wmb+N392+E160,14.392789,33.075462341308594,1.2180436849594116,3.0711586475372314,23,2
wjl+N172+E16,21.931226,32.97063064575195,1.742681860923767,2.9958336353302,25,2
cab+N172+E10,6.37846,32.75920867919922,2.6184394359588623,2.9502949714660645,32,2
bcu+N67+E7,11.643167,32.81636047363281,1.4569346904754639,2.8247087001800537,35,2
vmi+N9+E11,18.090416,32.70668029785156,2.0577139854431152,2.791363477706909,37,2
whb+N394+E160,21.782855,32.7725944519043,0.9678023457527161,2.7665984630584717,40,2
noz+N651+E36,6.355214,32.721893310546875,1.3979241847991943,2.7291243076324463,43,2
cab+N172+E61,11.502887,32.67189407348633,1.5647398233413696,2.693675994873047,46,2
cab+N172+E201,16.281876,32.584442138671875,2.060828924179077,2.681901216506958,48,2
hxg-d+N663+E160,19.461534,32.65394973754883,1.5428889989852905,2.6744933128356934,49,2
irl+N342+E28,16.472997,32.62907409667969,1.431778907775879,2.641341209411621,53,2
noz+N651+E167,25.87007,32.634376525878906,1.3411999940872192,2.640467405319214,54,2
eta+N499+E101,3.316552,32.56681823730469,1.7790393829345703,2.6200332641601562,57,2
ecu+N389+E7,17.506679,32.61634826660156,1.1958470344543457,2.615891456604004,58,2
bcu+N199+E36,13.536629,32.59445571899414,1.0013892650604248,2.589395523071289,62,2
upc+N420+E201,19.837107,32.478111267089844,2.0492429733276367,2.5850558280944824,64,2
fnj+N172+E14,13.747111,32.55842971801758,1.3473340272903442,2.5669567584991455,66,2
wmb+N197+E160,19.401446,32.55492401123047,1.18601655960083,2.555023193359375,68,2
pcb+N398+E201,12.134186,32.42001724243164,2.0930850505828857,2.542609453201294,73,2
fnk+N172+E201,11.439339,32.47026824951172,1.719931960105896,2.5223636627197266,78,2
wme+N613+E29,23.595641,40.15623474121094,1.3998258113861084,10.149633407592773,1,3
wfe+N281+E175,23.917906,36.351402282714844,1.282318115234375,6.34480094909668,20,3
uop+N90+E132,12.607071,36.290653228759766,1.9287089109420776,6.284339427947998,21,3
cds+N395+E152,10.226987,36.051902770996094,0.5208475589752197,6.04530143737793,32,3
wim+N123+E29,21.260894,35.966705322265625,1.239579677581787,5.960103988647461,34,3
uom+N90+E32,6.458515,35.87030029296875,1.3521337509155273,5.863700866699219,38,3
ukb+N417+E95,18.951213,35.76344680786133,1.3638701438903809,5.75684928894043,44,3
wmm+N486+E212,22.086117,35.640113830566406,1.7514716386795044,5.633817672729492,47,3
uom+N623+E132,12.148183,35.515113830566406,2.115666389465332,5.511573314666748,52,3
snk+N505+E142,29.094883,35.42759704589844,0.7308513522148132,5.420995712280273,56,3
cap+N36+E29,6.736382,35.27884292602539,1.0153038501739502,5.272241592407227,61,3
smg+N270+E29,27.961723,35.046287536621094,1.207034707069397,5.039690017700195,72,3
wjh+N90+E73,7.263238,35.04488754272461,0.7014883160591125,5.038286209106445,73,3
qtz-e+N151+E70,23.474226,34.982627868652344,1.3856052160263062,4.976082801818848,75,3
qtz-x+N54+E44,25.839405,34.93028259277344,0.47740697860717773,4.923681259155273,78,3
dia+N112+E215,10.476784,34.88751983642578,1.6052637100219727,4.8814496994018555,80,3
sqp+N391+E184,27.218497,37.227272033691406,1.7214226722717285,7.220675945281982,8,4
snk+N106+E73,26.901724,37.00877380371094,0.881051778793335,7.002172470092773,10,4
vmq+N284+E136,20.084026,36.713775634765625,1.5296550989151,6.707176208496094,13,4
snf+N554+E184,18.900412,36.675636291503906,1.5983688831329346,6.669040203094482,15,4
snk+N668+E136,12.729493,36.49957275390625,1.3944902420043945,6.492971897125244,18,4
ile+N247+E184,4.166367,36.40630340576172,1.4679057598114014,6.3997039794921875,21,4
sme+N666+E31,14.287921,36.40253448486328,1.4960334300994873,6.395936012268066,22,4
uni+N627+E211,15.807769,36.26032257080078,0.9795244932174683,6.253721237182617,24,4
